Model Name,Estimator Class,ModelType,Full Class Path,Primary Key,Part_2,Part_3,Part_4,Part_5
MLPClassifier,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,classifier,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,sklearn.neural_network._multilayer_perceptron.MLPClassifier,neural_network,_multilayer_perceptron,MLPClassifier,
MultiOutputClassifier,<class 'sklearn.multioutput.MultiOutputClassifier'>,classifier,<class 'sklearn.multioutput.MultiOutputClassifier'>,sklearn.multioutput.MultiOutputClassifier,multioutput,MultiOutputClassifier,,
MultinomialNB,<class 'sklearn.naive_bayes.MultinomialNB'>,classifier,<class 'sklearn.naive_bayes.MultinomialNB'>,sklearn.naive_bayes.MultinomialNB,naive_bayes,MultinomialNB,,
NearestCentroid,<class 'sklearn.neighbors._nearest_centroid.NearestCentroid'>,classifier,<class 'sklearn.neighbors._nearest_centroid.NearestCentroid'>,sklearn.neighbors._nearest_centroid.NearestCentroid,neighbors,_nearest_centroid,NearestCentroid,
NuSVC,<class 'sklearn.svm._classes.NuSVC'>,classifier,<class 'sklearn.svm._classes.NuSVC'>,sklearn.svm._classes.NuSVC,svm,_classes,NuSVC,
OneVsOneClassifier,<class 'sklearn.multiclass.OneVsOneClassifier'>,classifier,<class 'sklearn.multiclass.OneVsOneClassifier'>,sklearn.multiclass.OneVsOneClassifier,multiclass,OneVsOneClassifier,,
OneVsRestClassifier,<class 'sklearn.multiclass.OneVsRestClassifier'>,classifier,<class 'sklearn.multiclass.OneVsRestClassifier'>,sklearn.multiclass.OneVsRestClassifier,multiclass,OneVsRestClassifier,,
OutputCodeClassifier,<class 'sklearn.multiclass.OutputCodeClassifier'>,classifier,<class 'sklearn.multiclass.OutputCodeClassifier'>,sklearn.multiclass.OutputCodeClassifier,multiclass,OutputCodeClassifier,,
PassiveAggressiveClassifier,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,classifier,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier,linear_model,_passive_aggressive,PassiveAggressiveClassifier,
Perceptron,<class 'sklearn.linear_model._perceptron.Perceptron'>,classifier,<class 'sklearn.linear_model._perceptron.Perceptron'>,sklearn.linear_model._perceptron.Perceptron,linear_model,_perceptron,Perceptron,
QuadraticDiscriminantAnalysis,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,classifier,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,discriminant_analysis,QuadraticDiscriminantAnalysis,,
RadiusNeighborsClassifier,<class 'sklearn.neighbors._classification.RadiusNeighborsClassifier'>,classifier,<class 'sklearn.neighbors._classification.RadiusNeighborsClassifier'>,sklearn.neighbors._classification.RadiusNeighborsClassifier,neighbors,_classification,RadiusNeighborsClassifier,
RandomForestClassifier,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,classifier,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,sklearn.ensemble._forest.RandomForestClassifier,ensemble,_forest,RandomForestClassifier,
RidgeClassifier,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,classifier,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,sklearn.linear_model._ridge.RidgeClassifier,linear_model,_ridge,RidgeClassifier,
RidgeClassifierCV,<class 'sklearn.linear_model._ridge.RidgeClassifierCV'>,classifier,<class 'sklearn.linear_model._ridge.RidgeClassifierCV'>,sklearn.linear_model._ridge.RidgeClassifierCV,linear_model,_ridge,RidgeClassifierCV,
SGDClassifier,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,classifier,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,sklearn.linear_model._stochastic_gradient.SGDClassifier,linear_model,_stochastic_gradient,SGDClassifier,
SVC,<class 'sklearn.svm._classes.SVC'>,classifier,<class 'sklearn.svm._classes.SVC'>,sklearn.svm._classes.SVC,svm,_classes,SVC,
SelfTrainingClassifier,<class 'sklearn.semi_supervised._self_training.SelfTrainingClassifier'>,classifier,<class 'sklearn.semi_supervised._self_training.SelfTrainingClassifier'>,sklearn.semi_supervised._self_training.SelfTrainingClassifier,semi_supervised,_self_training,SelfTrainingClassifier,
StackingClassifier,<class 'sklearn.ensemble._stacking.StackingClassifier'>,classifier,<class 'sklearn.ensemble._stacking.StackingClassifier'>,sklearn.ensemble._stacking.StackingClassifier,ensemble,_stacking,StackingClassifier,
TunedThresholdClassifierCV,<class 'sklearn.model_selection._classification_threshold.TunedThresholdClassifierCV'>,classifier,<class 'sklearn.model_selection._classification_threshold.TunedThresholdClassifierCV'>,sklearn.model_selection._classification_threshold.TunedThresholdClassifierCV,model_selection,_classification_threshold,TunedThresholdClassifierCV,
VotingClassifier,<class 'sklearn.ensemble._voting.VotingClassifier'>,classifier,<class 'sklearn.ensemble._voting.VotingClassifier'>,sklearn.ensemble._voting.VotingClassifier,ensemble,_voting,VotingClassifier,
ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>,regressor,<class 'sklearn.linear_model._bayes.ARDRegression'>,sklearn.linear_model._bayes.ARDRegression,linear_model,_bayes,ARDRegression,
AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>,regressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>,sklearn.ensemble._weight_boosting.AdaBoostRegressor,ensemble,_weight_boosting,AdaBoostRegressor,
BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>,regressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>,sklearn.ensemble._bagging.BaggingRegressor,ensemble,_bagging,BaggingRegressor,
BayesianRidge,<class 'sklearn.linear_model._bayes.BayesianRidge'>,regressor,<class 'sklearn.linear_model._bayes.BayesianRidge'>,sklearn.linear_model._bayes.BayesianRidge,linear_model,_bayes,BayesianRidge,
CCA,<class 'sklearn.cross_decomposition._pls.CCA'>,regressor,<class 'sklearn.cross_decomposition._pls.CCA'>,sklearn.cross_decomposition._pls.CCA,cross_decomposition,_pls,CCA,
